Landkreis,berechtigt,gesamt,Anzahl,Liste,Brief,Prozent
Brandenburg an der Havel,61821,39,38,32,6,0.06
Cottbus,85352,9898,9424,3735,5689,11.60
Frankfurt (Oder),49271,244,220,35,185,0.50
Potsdam,129772,461,444,222,222,0.36
Barnim,148021,257,254,219,35,0.17
Dahme-Spreewald,136221,566,556,349,207,0.42
Elbe-Elster,94411,479,462,308,154,0.51
Havelland,128841,100,97,82,15,0.08
M‰rkisch-Oderland,160701,274,264,205,59,0.17
Oberhavel,170661,169,164,144,20,0.10
Oberspreewald-Lausitz,101081,808,786,461,325,0.80
Oder-Spree,152751,520,520,336,176,0.34
Ostprignitz-Ruppin,86201,36,35,21,14,0.04
Potsdam-Mittelmark,170711,383,380,327,53,0.22
Prignitz,69181,70,68,47,21,0.10
Spree-Neiﬂe,105071,4018,3894,1903,1991,3.82
Teltow-Fl‰ming,135251,364,346,243,103,0.27
Uckermark,106141,164,164,96,65,0.15
