Landkreis,berechtigt,gesamt,Anzahl,Liste,Brief,Prozent
Brandenburg a. d. H.,61960,110,109,89,20,0.18
Cottbus,87550,121,120,109,11,0.14
Frankfurt (Oder),50341,102,97,89,8,0.20
Potsdam,128947,10450,9889,6142,3747,8.10
Barnim,150382,1261,1246,1076,170,0.84
Dahme-Spreewald,136868,22023,21658,18420,3238,16.09
Elbe-Elster,96264,102,101,86,15,0.11
Havelland,130780,719,695,573,122,0.55
M‰rkisch-Oderland,162237,10234,10045,7796,2249,6.31
Oberhavel,171907,1221,1201,975,226,0.71
Oberspreewald-Lausitz,104115,95,95,83,12,0.09
Oder-Spree,155171,11034,10784,9114,1670,7.11
Ostprignitz-Ruppin,88100,152,143,123,20,0.17
Potsdam-Mittelmark,172041,26417,25717,18209,7508,15.36
Prignitz,71039,89,89,85,4,0.13
Spree-Neiﬂe,107709,141,136,116,20,0.13
Teltow-Fl‰ming,136466,24774,24091,13710,10381,18.15
Uckermark,109679,179,175,160,15,0.16
